"","strategy_rep","inflection_point","timepoint"
"1",3002,125.958791768658,0
"2",3017,191.586178203501,0
"3",3019,192.035272811788,0
"4",3024,96.2989663761132,0
"5",3038,6.78611419850051,0
"6",3046,47.8809396305926,0
"7",3056,130.290346158749,0
"8",3074,48.0061761111761,0
"9",3081,95.7565156893322,0
"10",3097,62.8946167265284,0
"11",3100,95.7515089970227,0
"12",3102,125.944276271718,0
"13",3111,32.619708172144,0
"14",3150,3.51577095379351,0
"15",3158,90.7503078089595,0
"16",3181,191.578648955736,0
"17",3186,95.7517796503356,0
"18",3227,47.8742583051563,0
"19",3257,130.313876526889,0
"20",3312,62.8939578674227,0
"21",3323,7.83811469679886,0
"22",3335,95.7467162636767,0
"23",3358,11.9757344002052,0
"24",3362,191.578086854577,0
"25",3366,47.874843683399,0
"26",3383,44.9028389608698,0
"27",3411,95.7545387826004,0
"28",3416,130.288835610606,0
"29",3430,62.9295745316487,0
"30",3447,23.9392985889303,0
"31",3451,8.18640760786975,0
"32",3486,16.317105297,0
"33",3493,5.99171723204604,0
"34",3497,95.7603849837476,0
"35",4032,105.547299986817,0
"36",4048,32.6224582512921,0
"37",4057,12.8809268658314,0
"38",4068,65.1471892790009,0
"39",4076,62.9295745316487,0
"40",4077,62.9099223326592,0
"41",4097,95.4778898366767,0
"42",4122,123.719639369927,0
"43",4140,125.886906117515,0
"44",4170,16.3491698033403,0
"45",4175,8.2249357784242,0
"46",4178,18.1386179266181,0
"47",4217,47.8777696728415,0
"48",4218,130.31550449248,0
"49",4222,130.337858040316,0
"50",4234,130.289600476313,0
"51",4243,5.99171723204604,0
"52",4254,6.41667734171951,0
"53",4271,47.9958523311378,0
"54",4278,47.8997795273965,0
"55",4308,62.8946167265284,0
"56",4310,24.0598989149486,0
"57",4320,95.7603849837476,0
"58",4355,62.8946167265284,0
"59",4357,5.99743492349156,0
"60",4360,65.1769666848026,0
"61",4367,95.7603849837476,0
"62",4387,23.8854876072352,0
"63",4456,65.1745969367043,0
"64",4480,64.6792339265193,0
"65",4493,32.6208833263578,0
"66",3002,191.493065517875,1
"67",3017,191.493065517875,1
"68",3019,260.668549153548,1
"69",3024,251.608418982415,1
"70",3038,260.668549153548,1
"71",3046,251.608418982415,1
"72",3056,125.801446290557,1
"73",3074,128.000000000004,1
"74",3081,191.493065517875,1
"75",3097,260.668549153548,1
"76",3100,191.493065517875,1
"77",3102,191.493065517875,1
"78",3111,191.520602819904,1
"79",3150,191.953796153612,1
"80",3158,503.219095656733,1
"81",3181,191.493065517875,1
"82",3186,191.493065517875,1
"83",3227,382.991487265192,1
"84",3257,503.241934877539,1
"85",3312,191.493065517875,1
"86",3323,47.8747235112831,1
"87",3335,191.493065517875,1
"88",3358,47.8781416463848,1
"89",3362,191.493065517875,1
"90",3366,191.493065517875,1
"91",3383,382.991487265192,1
"92",3411,263.507736395772,1
"93",3416,383.002569850084,1
"94",3430,383.188553284277,1
"95",3447,47.8813199307836,1
"96",3451,164.329407190747,1
"97",3486,251.608418982415,1
"98",3493,23.9434469787954,1
"99",3497,130.339267403427,1
"100",4032,251.608418982415,1
"101",4048,95.7487825507359,1
"102",4057,18.5404882972254,1
"103",4068,191.493065517875,1
"104",4076,191.493065517875,1
"105",4077,95.74668224779,1
"106",4097,191.493065517875,1
"107",4122,382.991487265192,1
"108",4140,191.493065517875,1
"109",4170,191.493065517875,1
"110",4175,95.7487825507359,1
"111",4178,191.493065517875,1
"112",4217,191.493065517875,1
"113",4218,191.493065517875,1
"114",4222,191.953796153612,1
"115",4234,382.991487265192,1
"116",4243,260.668549153548,1
"117",4254,4.09972015821239,1
"118",4271,128.000000000004,1
"119",4278,191.493065517875,1
"120",4308,382.991487265192,1
"121",4310,65.2357773928125,1
"122",4320,191.10570258277,1
"123",4355,191.493065517875,1
"124",4357,10.9567899801133,1
"125",4360,191.493065517875,1
"126",4367,190.787676579285,1
"127",4387,66.846830924315,1
"128",4456,191.493065517875,1
"129",4480,191.493065517875,1
"130",4493,382.991487265192,1
