"","strategy_rep","timepoint","num_viable_unicells_unfiltered","num_viable_unicells_F1","num_viable_unicells_F2","adjusted_num_viable_uni"
"1",8023,0,47,47,46,46
"2",8023,1,45,45,45,45
"3",8030,0,80,80,79,78.1860465116279
"4",8030,1,67,67,67,66.1276595744681
"5",8031,0,154,154,151,149.847092071992
"6",8031,1,64,64,63,63
"7",8039,0,113,112,108,107.052631578947
"8",8039,1,86,86,85,84.2421052631579
"9",8047,0,150,150,148,148
"10",8047,1,116,116,114,111.868717948718
"11",8182,0,79,79,77,77
"12",8182,1,68,68,67,67
"13",8185,0,228,226,220,182.766837640802
"14",8185,1,62,62,61,61
"15",8198,0,142,142,142,129.531222662567
"16",8198,1,38,38,37,37
"17",8220,0,126,126,124,122.457012195122
"18",8220,1,102,102,101,101
"19",8251,0,113,113,111,110.425
"20",8251,1,39,39,38,38
"21",8271,0,72,72,72,72
"22",8271,1,85,85,85,84.0459770114943
"23",8291,0,88,88,88,88
"24",8291,1,46,46,46,42.2268281101614
"25",8295,0,130,130,128,126.710752218827
"26",8295,1,29,29,28,28
"27",8307,0,141,141,141,139.66172381835
"28",8307,1,104,75,75,74.1234567901235
"29",8312,0,92,92,90,88.4448700410397
"30",8312,1,103,103,103,102.16
"31",8329,0,47,47,46,46
"32",8329,1,47,47,46,46
"33",8365,0,78,78,77,75.7858687815429
"34",8365,1,81,81,81,73.5319192907237
"35",8372,0,80,80,80,80
"36",8372,1,69,69,68,67.2023809523809
"37",8377,0,283,283,280,278.063989290495
"38",8377,1,87,87,85,81.5458242556282
"39",8379,0,82,82,80,80
"40",8379,1,76,76,76,76
"41",8382,0,107,107,105,103.618002686968
"42",8382,1,130,130,128,127.152941176471
"43",8397,0,43,43,42,42
"44",8397,1,54,53,52,52
"45",8428,0,113,113,111,111
"46",8428,1,104,104,104,103.157303370787
"47",8433,0,65,65,64,62.4122257053292
"48",8433,1,68,68,67,66.2469135802469
"49",8434,0,146,146,144,144
"50",8434,1,61,61,60,60
"51",8456,0,54,54,53,53
"52",8456,1,43,43,42,42
"53",8494,0,72,72,71,69.4015105637397
"54",8494,1,63,63,63,63
"55",8533,0,106,106,104,104
"56",8533,1,54,54,53,53
"57",8545,0,162,162,147,147
"58",8545,1,89,89,87,87
"59",8594,0,77,77,77,75.4701385570951
"60",8594,1,73,73,73,73
"61",8614,0,118,117,114,112.27430671567
"62",8614,1,115,115,112,110.286475682878
"63",8618,0,71,71,71,71
"64",8618,1,38,38,38,38
"65",8625,0,100,100,100,99.1621621621622
"66",8625,1,96,96,96,96
"67",8644,0,63,63,62,61.8258993599283
"68",8644,1,49,49,48,48
"69",8677,0,292,292,224,221.985691573927
"70",8677,1,228,228,227,221.530575618909
"71",8684,0,89,89,88,87.1882352941176
"72",8684,1,115,115,115,114.105882352941
"73",8697,0,68,68,67,67
"74",8697,1,49,49,48,48
"75",8712,0,66,66,66,65.275
"76",8712,1,169,169,94,90.5576642122487
"77",8727,0,79,79,77,77
"78",8727,1,47,47,47,47
"79",8739,0,55,55,54,54
"80",8739,1,44,44,43,43
"81",8761,0,67,67,66,66
"82",8761,1,171,171,167,165.197132616487
"83",8815,0,59,59,58,58
"84",8815,1,85,85,83,81.2792207792208
"85",8826,0,81,79,78,76.4421245421245
"86",8826,1,76,76,75,75
"87",8851,0,57,56,55,55
"88",8851,1,91,90,88,88
"89",8900,0,130,130,128,128
"90",8900,1,71,71,70,69.3
"91",8941,0,172,172,171,168.64717763948
"92",8941,1,106,106,104,103.112359550562
"93",8992,0,142,142,140,138.457142857143
"94",8992,1,130,130,130,130
