"","strategy_rep","timepoint","has_soma","change_in_workload"
"1",3002,0,0,0
"2",3017,0,0,0
"3",3019,0,0,0
"4",3024,0,0,0
"5",3038,0,0,0
"6",3046,0,0,0
"7",3056,0,0,0
"8",3074,0,0,0
"9",3081,0,0,0
"10",3097,0,0,0
"11",3100,0,0,-698.08
"12",3102,0,0,0
"13",3111,0,0,0
"14",3150,0,0,0
"15",3158,0,0,0
"16",3181,0,0,0
"17",3186,0,0,0
"18",3227,0,0,0
"19",3257,0,0,0
"20",3312,0,0,-744.51
"21",3323,0,0,0
"22",3335,0,0,0
"23",3358,0,0,0
"24",3362,0,0,0
"25",3366,0,0,0
"26",3383,0,0,0
"27",3411,0,0,-585.35
"28",3416,0,0,0
"29",3430,0,0,0
"30",3447,0,0,0
"31",3451,0,0,0
"32",3486,0,0,0
"33",3493,0,0,0
"34",3497,0,0,0
"35",4032,0,0,0
"36",4048,0,0,0
"37",4057,0,0,-384.55
"38",4068,0,0,0
"39",4076,0,0,0
"40",4077,0,0,-426.24
"41",4097,0,0,0
"42",4122,0,0,0
"43",4140,0,0,0
"44",4170,0,0,0
"45",4175,0,0,-92.69
"46",4178,0,0,-46.7333333333333
"47",4217,0,0,0
"48",4218,0,0,0
"49",4222,0,0,0
"50",4234,0,0,0
"51",4243,0,0,0
"52",4254,0,0,-1.46
"53",4271,0,0,0
"54",4278,0,0,0
"55",4308,0,0,0
"56",4310,0,0,-203.97
"57",4320,0,0,0
"58",4355,0,0,0
"59",4357,0,0,0
"60",4360,0,0,0
"61",4367,0,0,0
"62",4387,0,0,0
"63",4456,0,0,0
"64",4480,0,0,0
"65",4493,0,0,0
"66",3002,1,1,2036.4
"67",3017,1,1,1940.53
"68",3019,1,1,2189.42
"69",3024,1,1,2520.91
"70",3038,1,1,1794.7
"71",3046,1,1,1951.53
"72",3056,1,1,1968.62
"73",3074,1,0,-471.19
"74",3081,1,1,2106.24
"75",3097,1,1,2425.43
"76",3100,1,1,1647.6
"77",3102,1,1,1817.76
"78",3111,1,0,-406.11
"79",3150,1,1,1570.03
"80",3158,1,1,1994.37
"81",3181,1,1,1637.71
"82",3186,1,1,3570.02
"83",3227,1,1,1561.6
"84",3257,1,1,1836.34
"85",3312,1,1,2034.1
"86",3323,1,0,-308.04
"87",3335,1,1,1636.26
"88",3358,1,0,-374.68
"89",3362,1,1,2788.22
"90",3366,1,1,1772.97
"91",3383,1,1,1846.17
"92",3411,1,1,1899.92
"93",3416,1,1,1705.09
"94",3430,1,1,2261.74
"95",3447,1,0,-39.2
"96",3451,1,0,-413.62
"97",3486,1,1,2156.41
"98",3493,1,0,-99.52
"99",3497,1,1,1841.5
"100",4032,1,1,2212.53
"101",4048,1,0,-651.76
"102",4057,1,0,-636.9
"103",4068,1,1,1654.35
"104",4076,1,1,1756.62
"105",4077,1,0,-484.145833333333
"106",4097,1,1,1908.78
"107",4122,1,1,1769.61
"108",4140,1,1,1454.3
"109",4170,1,1,1847.3
"110",4175,1,1,1370.29
"111",4178,1,1,2067.76
"112",4217,1,1,1777.72
"113",4218,1,1,2701.16
"114",4222,1,0,-481.46
"115",4234,1,1,2163.14
"116",4243,1,1,1777.14
"117",4254,1,0,0
"118",4271,1,0,-415.63
"119",4278,1,1,1464.28282828283
"120",4308,1,1,2342.4
"121",4310,1,1,286.15
"122",4320,1,0,-457.59
"123",4355,1,1,1487.99
"124",4357,1,0,0
"125",4360,1,1,2085.8
"126",4367,1,0,-516.13
"127",4387,1,0,-463.63
"128",4456,1,1,1655.5
"129",4480,1,1,2138.09
"130",4493,1,1,2437.09
